URL	HLC	DE	EN
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-192.png	050 20 10	Granitbraun	Granite brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-193.png	050 20 16	Nachtbraun	Night brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-194.png	050 30 10	Obsidianbraun	Obsidian brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-195.png	050 30 20	Tropenholzbraun	Tropical wood brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-196.png	050 30 30	Tabakbraun	Tobacco brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-197.png	050 30 36	Palisanderbraun	Rosewood brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-198.png	050 40 10	Mokkaschwarz	Mocha black
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-199.png	050 40 20	Florentinerbraun	Florentine brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-200.png	050 40 30	Currybraun	Curry brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-201.png	050 40 40	Madeirabraun	Madeira brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-202.png	050 40 50	Herbstrot	Autumn red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-203.png	050 50 10	Teakholzbraun	Teakwood brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-204.png	050 50 20	Milchkaffeebraun	Milk coffee brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-205.png	050 50 30	Goldbraun	Golden brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-206.png	050 50 40	Kupfermetallrot	Copper-metal red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-207.png	050 50 50	Goldlackbraun	Gold varnish brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-208.png	050 50 60	Tizianrot	Titian red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-209.png	050 50 70	Mohnrot	Poppy red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-210.png	050 50 78	Persischorange	Persian orange
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-211.png	050 60 10	Ecruocker	Ecru ochre
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-212.png	050 60 20	Karamellbraun	Caramel brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-213.png	050 60 30	Mittelbraun	Medium brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-214.png	050 60 40	Apricotbraun	Apricot brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-215.png	050 60 50	Orangegelb	Orange yellow
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-216.png	050 60 60	Kamelrot	Camel red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-217.png	050 60 70	Karottenorange	Carrot orange
