HHHLLCC	Hue	Lightness	Chroma	DE	EN	https://www.ral-farben.de/out/ralfarben/img/thumbs/{file}.png	
H000L15C00	0°	15%	0%	Tintenschwarz	Ink black	designplus-1	
H000L20C00	0°	20%	0%	Schieferschwarz	Slate black	designplus-2	
H000L25C00	0°	25%	0%	Onyxschwarz	Onyx black	designplus-3	
H000L30C00	0°	30%	0%	Mittelschwarz	Medium black	designplus-4	
H000L35C00	0°	35%	0%	Brikettgrau	Briquette grey	designplus-5	
H000L40C00	0°	40%	0%	Dunkelgrau	Dark grey	designplus-6	
H000L45C00	0°	45%	0%	Architekturgrau	Architecture grey	designplus-7	
H000L50C00	0°	50%	0%	Stahlgrau	Steel grey	designplus-8	
H000L55C00	0°	55%	0%	Mittelgrau	Medium grey	designplus-9	
H000L60C00	0°	60%	0%	Aschgrau	Ash grey	designplus-10	
H000L65C00	0°	65%	0%	Mörtelgrau	Mortar grey	designplus-11	
H000L70C00	0°	70%	0%	Leichtgrau	Light grey	designplus-12	
H000L75C00	0°	75%	0%	Marmorgrau	Marble grey	designplus-13	
H000L80C00	0°	80%	0%	Nebelgrau	Foggy grey	designplus-14	
H000L85C00	0°	85%	0%	Schattenweiß	Shadow white	designplus-15	
H000L90C00	0°	90%	0%	Winterweiß	Winter white	designplus-16	
H010L20C10	10°	20%	10%	Wengeschwarz	Wenge Black	designplus-17	
H010L20C15	10°	20%	15%	Kirschenschwarz	Cherry black	designplus-18	
H010L20C20	10°	20%	20%	Dunkelmahagoni	Dark mahogany	designplus-19	
H010L20C25	10°	20%	25%	Rostrot	Rusty red	designplus-20	
H010L30C10	10°	30%	10%	Holzschwarzrot	Wood-black red	designplus-21	
H010L30C15	10°	30%	15%	Nachtmauve	Night mauve	designplus-22	
H010L30C20	10°	30%	20%	Rosigbraun	Pinkish brown	designplus-23	
H010L30C25	10°	30%	25%	Kastanienrot	Chestnut red	designplus-24	
H010L30C30	10°	30%	30%	Lederrot	Leather red	designplus-25	
H010L30C35	10°	30%	35%	Anthrazitrot	Anthracite red	designplus-26	
H010L30C40	10°	30%	40%	Braunmagenta	Brown magenta	designplus-27	
H010L30C44	10°	30%	44%	Atlasrot	Atlas red	designplus-28	
H010L40C10	10°	40%	10%	Caputmortuumgraurot	Caput mortuum grey red	designplus-29	
H010L40C15	10°	40%	15%	Rostbraun	Rust brown	designplus-30	
H010L40C20	10°	40%	20%	Abendrot	Sunset red	designplus-31	
H010L40C25	10°	40%	25%	Mineralrot	Mineral red	designplus-32	
H010L40C30	10°	40%	30%	Trübmagenta	Dull magenta	designplus-33	
H010L40C35	10°	40%	35%	Samtrot	Velvet red	designplus-34	
H010L40C40	10°	40%	40%	Algenrot	Algae red	designplus-35	
H010L40C45	10°	40%	45%	Himbeereisrot	Raspberry ice red	designplus-36	
H010L40C50	10°	40%	50%	Fuchsiarot	Fuchsia red	designplus-37	
H010L40C53	10°	40%	53%	Urrot	Primal red	designplus-38	
H010L50C10	10°	50%	10%	Altmahagoni	Old mahogany	designplus-39	
H010L50C15	10°	50%	15%	Trübaltrosa	Dull dusky pink	designplus-40	
H010L50C20	10°	50%	20%	Backsteinrot	Brickwork red	designplus-41	
H010L50C25	10°	50%	25%	Mattkarmin	Matte carmine	designplus-42	
H010L50C30	10°	50%	30%	Marmorrot	Marble red	designplus-43	
H010L50C35	10°	50%	35%	Geranienrot	Geranium red	designplus-44	
H010L50C40	10°	50%	40%	Schieferrosa	Slate pink	designplus-45	
H010L50C45	10°	50%	45%	Tulipanrot	Tulip red	designplus-46	
H010L50C50	10°	50%	50%	Lichtrot	Vibrant red	designplus-47	
H010L60C10	10°	60%	10%	Fliedergrau	Lilac grey	designplus-48	
H010L60C15	10°	60%	15%	Eisorchideenrot	Orchid red	designplus-49	
H010L60C20	10°	60%	20%	Kalkrosa	Lime pink	designplus-50	
H010L60C25	10°	60%	25%	Lippenstiftrosa	Lipstick pink	designplus-51	
H010L60C30	10°	60%	30%	Japankoralle	Japanese coral	designplus-52	
H010L60C35	10°	60%	35%	Rosenrot	Rose red	designplus-53	
H010L60C40	10°	60%	40%	Erdbeershakerot	Strawberry milkshake red	designplus-54	
H010L60C45	10°	60%	45%	Leuchtendrosa	Luminous pink	designplus-55	
H010L70C10	10°	70%	10%	Blassmauve	Pale mauve	designplus-56	
H010L70C15	10°	70%	15%	Puderrosé	Powder rose	designplus-57	
H010L70C20	10°	70%	20%	Silberrosé	Silver rose	designplus-58	
H010L70C25	10°	70%	25%	Flamingorosa	Flamingo pink	designplus-59	
H010L70C30	10°	70%	30%	Kirschblütenrosa	Cherry blossom pink	designplus-60	
H010L70C35	10°	70%	35%	Babyrosa	Baby pink	designplus-61	
H010L80C10	10°	80%	10%	Schlammpink	Mud pink	designplus-62	
H010L80C15	10°	80%	15%	Eispink	Ice hot pink	designplus-63	
H010L80C20	10°	80%	20%	Pastellrosa	Pastel pink	designplus-64	
H010L85C05	10°	85%	5%	Perlrosé	Pearl rose	designplus-65	
H010L85C10	10°	85%	10%	Lachsrosé	Salmon rose	designplus-66	
H010L85C15	10°	85%	15%	Milchshakerosa	Milkshake pink	designplus-67	
H010L85C20	10°	85%	20%	Inkarnatrosé	Flesh pink	designplus-68	
H010L90C05	10°	90%	5%	Rosécreme	Rose cream	designplus-69	
H010L90C10	10°	90%	10%	Hellapricot	Light apricot	designplus-70	
H010L93C05	10°	93%	5%	Weißrötlich	White-red	designplus-71	
H020L20C05	20°	20%	5%	Tiefbraun	Deep brown	designplus-72	
H020L20C10	20°	20%	10%	Nachtröte	Night red	designplus-73	
H020L20C20	20°	20%	20%	Dunkelrotbraun	Dark red brown	designplus-74	
H020L20C29	20°	20%	29%	Burgunderrot	Burgundy	designplus-75	
H020L30C05	20°	30%	5%	Rhodonitbraun	Rhodonite brown	designplus-76	
H020L30C10	20°	30%	10%	Budapesterbraun	Budapest brown	designplus-77	
H020L30C20	20°	30%	20%	Kremlrot	Kremlin red	designplus-78	
H020L30C30	20°	30%	30%	Kristalldunkelrot	Crystal dark red	designplus-79	
H020L30C40	20°	30%	40%	Amaranthblüte	Amaranth blossom	designplus-80	
H020L30C48	20°	30%	48%	Vogelkirschenrot	Sweet cherry red	designplus-81	
H020L40C05	20°	40%	5%	Graubräunlich	Greyish brown	designplus-82	
H020L40C10	20°	40%	10%	Nussbaumbraun	Nut brown	designplus-83	
H020L40C20	20°	40%	20%	Antikrot	Antique red	designplus-84	
H020L40C30	20°	40%	30%	Hermosarosa	Hermosa pink	designplus-85	
H020L40C40	20°	40%	40%	Oktoberrot	October red	designplus-86	
H020L40C50	20°	40%	50%	Knallrot	Bright red	designplus-87	
H020L50C05	20°	50%	5%	Zirkongrau	Zircon grey	designplus-88	
H020L50C10	20°	50%	10%	Sandsteinrotgrau	Sandstone red grey	designplus-89	
H020L50C20	20°	50%	20%	Rotgrau	Red grey	designplus-90	
H020L50C30	20°	50%	30%	Venezianerrot	Venetian red	designplus-91	
H020L50C40	20°	50%	40%	Schwedenkleerot	Alsike clover red	designplus-92	
H020L50C50	20°	50%	50%	Flammenrot	Flame red	designplus-93	
H020L50C58	20°	50%	58%	Preiselbeerenrot	Lingonberry red	designplus-94	
H020L60C05	20°	60%	5%	Kugeldistelgraurosé	Globe thistle grey rose	designplus-95	
H020L60C10	20°	60%	10%	Blechrosa	Tin pink	designplus-96	
H020L60C20	20°	60%	20%	Retrorosa	Retro pink	designplus-97	
H020L60C30	20°	60%	30%	Begonienrostrosé	Begonia rose	designplus-98	
H020L60C40	20°	60%	40%	Lotusrot	Lotus red	designplus-99	
H020L70C05	20°	70%	5%	Fashionmauve	Fashion mauve	designplus-100	
H020L70C10	20°	70%	10%	Turmalinmauve	Tourmaline mauve	designplus-101	
H020L70C20	20°	70%	20%	Rosenholzapricot	Rosewood apricot	designplus-102	
H020L70C30	20°	70%	30%	Markerrosa	Marker pink	designplus-103	
H020L80C05	20°	80%	5%	Auroragrau	Aurora grey	designplus-104	
H020L80C10	20°	80%	10%	Quarzrosé	Quartz rose	designplus-105	
H020L80C20	20°	80%	20%	Marzipanrosa	Marzipan pink	designplus-106	
H020L85C05	20°	85%	5%	Mandelblütenrosa	Almond blossom pink	designplus-107	
H020L85C10	20°	85%	10%	Lachscreme	Salmon cream	designplus-108	
H020L85C20	20°	85%	20%	Elegantlichtrosé	Elegant light rose	designplus-109	
H020L90C05	20°	90%	5%	Muschelweiß	Mussel white	designplus-110	
H020L90C10	20°	90%	10%	Pfirsichcreme	Peach cream	designplus-111	
H020L93C05	20°	93%	5%	Blütenweiß	Blossom white	designplus-112	
H030L30C10	30°	30%	10%	Laurelnussrostbraun	Laurel nut brown	designplus-113	
H030L30C20	30°	30%	20%	Herbstlaubrot	Autumn leaf red	designplus-114	
H030L30C30	30°	30%	30%	Macorefurnierrot	Macore veneer red	designplus-115	
H030L30C40	30°	30%	40%	Karmesinrot	Crimson red	designplus-116	
H030L30C45	30°	30%	45%	Blutrot	Blood red	designplus-117	
H030L40C10	30°	40%	10%	Torfrotbraun	Peat red brown	designplus-118	
H030L40C20	30°	40%	20%	Moosbeerenrot	Cranberry red	designplus-119	
H030L40C30	30°	40%	30%	Backsteinbraun	Brick brown	designplus-120	
H030L40C40	30°	40%	40%	Scharfrot	Spicy red	designplus-121	
H030L40C50	30°	40%	50%	Hibiskusrot	Hibiscus red	designplus-122	
H030L40C60	30°	40%	60%	Kaiserkirschenrot	Emperor cherry red	designplus-123	
H030L50C10	30°	50%	10%	Erdrot	Earth red	designplus-124	
H030L50C20	30°	50%	20%	Terracottarotbraun	Terracotta red brown	designplus-125	
H030L50C30	30°	50%	30%	Lehmrot	Clay red	designplus-126	
H030L50C40	30°	50%	40%	Zinnoberrot	Vermilion red	designplus-127	
H030L50C50	30°	50%	50%	Ahornrot	Maple red	designplus-128	
H030L50C60	30°	50%	60%	Hollandrot	Holland red	designplus-129	
H030L60C10	30°	60%	10%	Sturmröte	Storm red	designplus-130	
H030L60C20	30°	60%	20%	Wüstenrot	Desert red	designplus-131	
H030L60C30	30°	60%	30%	Antikrosa	Antique pink	designplus-132	
H030L60C40	30°	60%	40%	Helltomate	Light tomato	designplus-133	
H030L60C50	30°	60%	50%	Kalypsorot	Calypso red	designplus-134	
H030L70C10	30°	70%	10%	Floridagrau	Florida grey	designplus-135	
H030L70C20	30°	70%	20%	Trübapricot	Dull apricot	designplus-136	
H030L70C30	30°	70%	30%	Lachsrosarot	Salmon pink red	designplus-137	
H030L70C40	30°	70%	40%	Flamingorot	Flamingo red	designplus-138	
H030L80C10	30°	80%	10%	Salzrosa	Salt pink	designplus-139	
H030L80C20	30°	80%	20%	Magnolienrosa	Magnolia pink	designplus-140	
H030L85C05	30°	85%	5%	Mandelcreme	Almond cream	designplus-141	
H030L85C10	30°	85%	10%	Softeisrosé	Soft ice rose	designplus-142	
H030L85C20	30°	85%	20%	Pfirsichrot	Peach red	designplus-143	
H030L90C05	30°	90%	5%	Antikweiß	Antique white	designplus-144	
H030L90C10	30°	90%	10%	Hochzeitsrosa	Wedding pink	designplus-145	
H030L93C05	30°	93%	5%	Pergamentweiß	Parchment white	designplus-146	
H040L20C19	40°	20%	19%	Wildbraun	Wild brown	designplus-147	
H040L30C05	40°	30%	5%	Basaltschwarz	Basalt black	designplus-148	
H040L30C10	40°	30%	10%	Kaviarschwarz	Caviar black	designplus-149	
H040L30C20	40°	30%	20%	Kaffeebraun	Coffee brown	designplus-150	
H040L30C30	40°	30%	30%	Wurzelbraun	Root brown	designplus-151	
H040L30C40	40°	30%	40%	Korrosionsrot	Corrosion red	designplus-152	
H040L40C05	40°	40%	5%	Aschbraun	Ash brown	designplus-153	
H040L40C10	40°	40%	10%	Somalibraun	Somali brown	designplus-154	
H040L40C20	40°	40%	20%	Vandyckbraun	Vandyck Brown	designplus-155	
H040L40C30	40°	40%	30%	Maronenbraun	Chestnut brown	designplus-156	
H040L40C40	40°	40%	40%	Ziegelrot	Brick red	designplus-157	
H040L40C50	40°	40%	50%	Hennarot	Henna red	designplus-158	
H040L40C60	40°	40%	60%	Kupferrot	Copper red	designplus-159	
H040L40C67	40°	40%	67%	Chinarot	China red	designplus-160	
H040L50C05	40°	50%	5%	Nomadengrau	Nomad grey	designplus-161	
H040L50C10	40°	50%	10%	Umbrasand	Umbra sand	designplus-162	
H040L50C20	40°	50%	20%	Achatbraun	Agate brown	designplus-163	
H040L50C30	40°	50%	30%	Rostfarben	Rust coloured	designplus-164	
H040L50C40	40°	50%	40%	Ameisenrot	Ant red	designplus-165	
H040L50C50	40°	50%	50%	Englischrot	English red	designplus-166	
H040L50C60	40°	50%	60%	Fuchsrot	Fox red	designplus-167	
H040L50C70	40°	50%	70%	Pompejirot	Pompeii red	designplus-168	
H040L60C05	40°	60%	5%	Warmgrau	Warm grey	designplus-169	
H040L60C10	40°	60%	10%	Hellkaramell	Light caramel	designplus-170	
H040L60C20	40°	60%	20%	Sienagelblich	Sienna yellow	designplus-171	
H040L60C30	40°	60%	30%	Zedernrot	Cedar red	designplus-172	
H040L60C40	40°	60%	40%	Terraorange	Terra orange	designplus-173	
H040L60C50	40°	60%	50%	Mandarinorange	Mandarin orange	designplus-174	
H040L60C60	40°	60%	60%	Korallenorange	Coral orange	designplus-175	
H040L70C05	40°	70%	5%	Passepartoutgrau	Matte grey	designplus-176	
H040L70C10	40°	70%	10%	Mohairmauve	Mohair mauve	designplus-177	
H040L70C20	40°	70%	20%	Sanftsiena	Soft sienna	designplus-178	
H040L70C30	40°	70%	30%	Industrierosé	Industrial rose	designplus-179	
H040L70C40	40°	70%	40%	Aprikosenrot	Apricot red	designplus-180	
H040L70C50	40°	70%	50%	Fruchtrot	Fruit red	designplus-181	
H040L80C05	40°	80%	5%	Naturseidegrau	Natural silk grey	designplus-182	
H040L80C10	40°	80%	10%	Thulitrosé	Thulite rose	designplus-183	
H040L80C20	40°	80%	20%	Krapporange	Madder orange	designplus-184	
H040L80C30	40°	80%	30%	Naturapricot	Nature apricot	designplus-185	
H040L85C05	40°	85%	5%	Pandoragrau	Pandora grey	designplus-186	
H040L85C10	40°	85%	10%	Feinalabaster	Fine alabaster	designplus-187	
H040L85C20	40°	85%	20%	Zartsüßapricot	Delicate sweet apricot	designplus-188	
H040L90C05	40°	90%	5%	Saharalichtrot	Sahara light red	designplus-189	
H040L90C10	40°	90%	10%	Zartrosé	Delicate rose	designplus-190	
H040L93C05	40°	93%	5%	Naturweiß	Natural white	designplus-191	
H050L20C10	50°	20%	10%	Granitbraun	Granite brown	designplus-192	
H050L20C16	50°	20%	16%	Nachtbraun	Night brown	designplus-193	
H050L30C10	50°	30%	10%	Obsidianbraun	Obsidian brown	designplus-194	
H050L30C20	50°	30%	20%	Tropenholzbraun	Tropical wood brown	designplus-195	
H050L30C30	50°	30%	30%	Tabakbraun	Tobacco brown	designplus-196	
H050L30C36	50°	30%	36%	Palisanderbraun	Rosewood brown	designplus-197	
H050L40C10	50°	40%	10%	Mokkaschwarz	Mocha black	designplus-198	
H050L40C20	50°	40%	20%	Florentinerbraun	Florentine brown	designplus-199	
H050L40C30	50°	40%	30%	Currybraun	Curry brown	designplus-200	
H050L40C40	50°	40%	40%	Madeirabraun	Madeira brown	designplus-201	
H050L40C50	50°	40%	50%	Herbstrot	Autumn red	designplus-202	
H050L50C10	50°	50%	10%	Teakholzbraun	Teakwood brown	designplus-203	
H050L50C20	50°	50%	20%	Milchkaffeebraun	Milk coffee brown	designplus-204	
H050L50C30	50°	50%	30%	Goldbraun	Golden brown	designplus-205	
H050L50C40	50°	50%	40%	Kupfermetallrot	Copper-metal red	designplus-206	
H050L50C50	50°	50%	50%	Goldlackbraun	Gold varnish brown	designplus-207	
H050L50C60	50°	50%	60%	Tizianrot	Titian red	designplus-208	
H050L50C70	50°	50%	70%	Mohnrot	Poppy red	designplus-209	
H050L50C78	50°	50%	78%	Persischorange	Persian orange	designplus-210	
H050L60C10	50°	60%	10%	Ecruocker	Ecru ochre	designplus-211	
H050L60C20	50°	60%	20%	Karamellbraun	Caramel brown	designplus-212	
H050L60C30	50°	60%	30%	Mittelbraun	Medium brown	designplus-213	
H050L60C40	50°	60%	40%	Apricotbraun	Apricot brown	designplus-214	
H050L60C50	50°	60%	50%	Orangegelb	Orange yellow	designplus-215	
H050L60C60	50°	60%	60%	Kamelrot	Camel red	designplus-216	
H050L60C70	50°	60%	70%	Karottenorange	Carrot orange	designplus-217	
H050L60C80	50°	60%	80%	Gerberarot	Gerbera red	designplus-218	
H050L70C10	50°	70%	10%	Bambusbeige	Bamboo beige	designplus-219	
H050L70C20	50°	70%	20%	Bernsteingrau	Amber grey	designplus-220	
H050L70C30	50°	70%	30%	Sienaocker	Sienna ochre	designplus-221	
H050L70C40	50°	70%	40%	Amberhellorange	Light amber orange	designplus-222	
H050L70C50	50°	70%	50%	Melonenrot	Melon red	designplus-223	
H050L70C60	50°	70%	60%	Mangoorange	Mango orange	designplus-224	
H050L80C10	50°	80%	10%	Blasssiena	Pale sienna	designplus-225	
H050L80C20	50°	80%	20%	Sanftorange	Soft orange	designplus-226	
H050L80C30	50°	80%	30%	Fahlorange	Pallid orange	designplus-227	
H050L85C05	50°	85%	5%	Meersand	Ocean sand	designplus-228	
H050L85C10	50°	85%	10%	Reinbeige	Pure beige	designplus-229	
H050L85C20	50°	85%	20%	Biscuitcreme	Biscuit cream	designplus-230	
H050L90C05	50°	90%	5%	Eierschalenweiß	Eggshell white	designplus-231	
H050L90C10	50°	90%	10%	Hellpfirsichrosé	Light peach rose	designplus-232	
H050L93C05	50°	93%	5%	Tüllweiß	Tulle white	designplus-233	
H060L20C05	60°	20%	5%	Industrieschwarz	Industrial black	designplus-234	
H060L30C05	60°	30%	5%	Karosseriegrau	Vehicle body grey	designplus-235	
H060L30C10	60°	30%	10%	Nutriafellbraun	Nutria fur brown	designplus-236	
H060L30C20	60°	30%	20%	Torfbraun	Peat brown	designplus-237	
H060L30C27	60°	30%	27%	Zinnsteinbraun	Cassiterite brown	designplus-238	
H060L40C05	60°	40%	5%	Zinkgrau	Zinc grey	designplus-239	
H060L40C10	60°	40%	10%	Mooreichengrau	Moor oak grey	designplus-240	
H060L40C20	60°	40%	20%	Kaffeebohnenbraun	Coffee bean brown	designplus-241	
H060L40C30	60°	40%	30%	Brasilbraun	Brazilian brown	designplus-242	
H060L40C40	60°	40%	40%	Platanenbraun	Plane brown	designplus-243	
H060L50C05	60°	50%	5%	Chinchillagrau	Chinchilla grey	designplus-244	
H060L50C10	60°	50%	10%	Sandsteingrau	Sandstone grey	designplus-245	
H060L50C20	60°	50%	20%	Champignonbraun	Mushroom brown	designplus-246	
H060L50C30	60°	50%	30%	Senfbraun	Mustard brown	designplus-247	
H060L50C40	60°	50%	40%	Kamelbraun	Camel brown	designplus-248	
H060L50C50	60°	50%	50%	Dattelfruchtbraun	Date fruit brown	designplus-249	
H060L50C60	60°	50%	60%	Rüsterbraunrot	Elm brown red	designplus-250	
H060L50C70	60°	50%	70%	Trockenlehm	Dry clay	designplus-251	
H060L60C05	60°	60%	5%	Estrichgrau	Screed grey	designplus-252	
H060L60C10	60°	60%	10%	Eichenbraun	Oak brown	designplus-253	
H060L60C20	60°	60%	20%	Topashellocker	Light topaz ochre	designplus-254	
H060L60C30	60°	60%	30%	Cognacbraun	Cognac brown	designplus-255	
H060L60C40	60°	60%	40%	Ahornsirupbraun	Maple syrup brown	designplus-256	
H060L60C50	60°	60%	50%	Kurkumarot	Turmeric red	designplus-257	
H060L60C60	60°	60%	60%	Bitterorange	Bitter orange	designplus-258	
H060L60C70	60°	60%	70%	Goldorange	Gold orange	designplus-259	
H060L60C80	60°	60%	80%	Akzentorange	Accent orange	designplus-260	
H060L70C05	60°	70%	5%	Zementgreige	Cement greige	designplus-261	
H060L70C10	60°	70%	10%	Kittgrau	Putty grey	designplus-262	
H060L70C20	60°	70%	20%	Erdnusscreme	Peanutbutter	designplus-263	
H060L70C30	60°	70%	30%	Pfirsichgelb	Peach yellow	designplus-264	
H060L70C40	60°	70%	40%	Kerzengelb	Candle yellow	designplus-265	
H060L70C50	60°	70%	50%	Topasgelb	Topaz yellow	designplus-266	
H060L70C60	60°	70%	60%	Melonenorange	Melon orange	designplus-267	
H060L70C70	60°	70%	70%	Indischgelb	Indian yellow	designplus-268	
H060L80C05	60°	80%	5%	Chamoishellbeige	Light chamois beige	designplus-269	
H060L80C10	60°	80%	10%	Sanftgreige	Soft greige	designplus-270	
H060L80C20	60°	80%	20%	Keksbeige	Biscuit beige	designplus-271	
H060L80C30	60°	80%	30%	Mildorange	Mild orange	designplus-272	
H060L80C40	60°	80%	40%	Apricotorange	Apricot orange	designplus-273	
H060L85C05	60°	85%	5%	Champagnerrosé	Champagne rose	designplus-274	
H060L85C10	60°	85%	10%	Maismehlbeige	Cornmeal beige	designplus-275	
H060L85C20	60°	85%	20%	Teiggelb	Dough yellow	designplus-276	
H060L85C30	60°	85%	30%	Safranhellorange	Light saffron orange	designplus-277	
H060L90C05	60°	90%	5%	Kornweiß	Grain white	designplus-278	
H060L90C10	60°	90%	10%	Vanillecreme	Vanilla cream	designplus-279	
H060L90C15	60°	90%	15%	Aprikosencreme	Apricot cream	designplus-280	
H060L93C05	60°	93%	5%	Wollweiß	Wool white	designplus-281	
H070L30C10	70°	30%	10%	Mineralbraun	Mineral brown	designplus-282	
H070L30C20	70°	30%	20%	Buchenbraun	Beech brown	designplus-283	
H070L40C10	70°	40%	10%	Nerzfellbraun	Mink brown	designplus-284	
H070L40C20	70°	40%	20%	Elsbeerenbraun	Huckleberry brown	designplus-285	
H070L40C30	70°	40%	30%	Ackerbraun	Arable brown	designplus-286	
H070L40C40	70°	40%	40%	Herbstgold	Autumn gold	designplus-287	
H070L50C10	70°	50%	10%	Sarukgrau	Saruk grey	designplus-288	
H070L50C20	70°	50%	20%	Aschgold	Ash gold	designplus-289	
H070L50C30	70°	50%	30%	Löwenmähnenblond	Lion's mane blonde	designplus-290	
H070L50C40	70°	50%	40%	Altgold	Antique gold	designplus-291	
H070L50C50	70°	50%	50%	Bühnengold	Stage gold	designplus-292	
H070L50C55	70°	50%	55%	Theatergold	Theatre gold	designplus-293	
H070L60C10	70°	60%	10%	Hellmahagoni	Light mahogany	designplus-294	
H070L60C20	70°	60%	20%	Dunkelblond	Dark blond	designplus-295	
H070L60C30	70°	60%	30%	Eichenhellbraun	Light oak brown	designplus-296	
H070L60C40	70°	60%	40%	Kornbraun	Grain brown	designplus-297	
H070L60C50	70°	60%	50%	Schlammgelb	Mud yellow	designplus-298	
H070L60C60	70°	60%	60%	Senfgelb	Mustard yellow	designplus-299	
H070L60C70	70°	60%	70%	Sanddorngelbbraun	Seabuckthorn yellow brown	designplus-300	
H070L60C75	70°	60%	75%	Herbstlauborange	Autumn leaf orange	designplus-301	
H070L70C10	70°	70%	10%	Ingwergraugelb	Ginger grey yellow	designplus-302	
H070L70C20	70°	70%	20%	Eschehellbraun	Light ash brown	designplus-303	
H070L70C30	70°	70%	30%	Goldbeige	Golden beige	designplus-304	
H070L70C40	70°	70%	40%	Dechantsbirnengelb	Dechant pear yellow	designplus-305	
H070L70C50	70°	70%	50%	Honigwaabengelb	Honeycomb yellow	designplus-306	
H070L70C60	70°	70%	60%	Ginstergelborange	Gorse yellow orange	designplus-307	
H070L70C70	70°	70%	70%	Neapelgelb	Naples yellow	designplus-308	
H070L70C80	70°	70%	80%	Safrangold	Saffron gold	designplus-309	
H070L80C10	70°	80%	10%	Flachsbeige	Flax beige	designplus-310	
H070L80C20	70°	80%	20%	Butterblumengelb	Buttercup yellow	designplus-311	
H070L80C30	70°	80%	30%	Goldhaferfarben	Golden oat coloured	designplus-312	
H070L80C40	70°	80%	40%	Aprikosengelb	Apricot yellow	designplus-313	
H070L80C50	70°	80%	50%	Warmapricot	Warm apricot	designplus-314	
H070L80C60	70°	80%	60%	Goldregengelb	Golden rain yellow	designplus-315	
H070L85C05	70°	85%	5%	Mandelkernbeige	Almond beige	designplus-316	
H070L85C10	70°	85%	10%	Silberdistelbeige	Silver thistle beige	designplus-317	
H070L85C20	70°	85%	20%	Sandelholzbeige	Sandalwood beige	designplus-318	
H070L85C30	70°	85%	30%	Haarblond	Hair blonde	designplus-319	
H070L90C05	70°	90%	5%	Offwhite	Off white	designplus-320	
H070L90C10	70°	90%	10%	Hellmais	Light corn	designplus-321	
H070L90C20	70°	90%	20%	Kreidegelb	Chalk yellow	designplus-322	
H070L93C05	70°	93%	5%	Anemonenweiß	Anemone white	designplus-323	
H075L40C10	75°	40%	10%	Baumrindenbraun	Tree bark brown	designplus-324	
H075L40C20	75°	40%	20%	Kümmelfruchtbraun	Caraway brown	designplus-325	
H075L40C30	75°	40%	30%	Borkenbraun	Bark brown	designplus-326	
H075L40C38	75°	40%	38%	Eidechsenbraun	Lizard brown	designplus-327	
H075L50C10	75°	50%	10%	Roggenteigbraun	Rye dough brown	designplus-328	
H075L50C20	75°	50%	20%	Chinazimt	China cinnamon	designplus-329	
H075L50C30	75°	50%	30%	Chamottegelb	Grog yellow	designplus-330	
H075L50C40	75°	50%	40%	Bernsteinbraun	Amber brown	designplus-331	
H075L50C50	75°	50%	50%	Zimtbraun	Cinnamon brown	designplus-332	
H075L50C58	75°	50%	58%	Kreuzkümmelocker	Cumin ochre	designplus-333	
H075L60C10	75°	60%	10%	Kittgelb	Putty yellow	designplus-334	
H075L60C20	75°	60%	20%	Walnussschalenbraun	Walnut shell brown	designplus-335	
H075L60C30	75°	60%	30%	Lehmocker	Clay ochre	designplus-336	
H075L60C40	75°	60%	40%	Funchalgelb	Funchal yellow	designplus-337	
H075L60C50	75°	60%	50%	Mangobraun	Mango brown	designplus-338	
H075L60C60	75°	60%	60%	Kurkumabraun	Turmeric brown	designplus-339	
H075L60C70	75°	60%	70%	Bambusbraun	Bamboo brown	designplus-340	
H075L70C10	75°	70%	10%	Flachsfasergrau	Flax fibre grey	designplus-341	
H075L70C20	75°	70%	20%	Kürbishellbraun	Light pumpkin brown	designplus-342	
H075L70C30	75°	70%	30%	Golddistelgelb	Golden thistle yellow	designplus-343	
H075L70C40	75°	70%	40%	Backsteingelb	Brick yellow	designplus-344	
H075L70C50	75°	70%	50%	Bambustiefgelb	Deep bamboo yellow	designplus-345	
H075L70C60	75°	70%	60%	Intensivgelb	Intense yellow	designplus-346	
H075L70C70	75°	70%	70%	Kürbisgelb	Pumpkin yellow	designplus-347	
H075L70C80	75°	70%	80%	Herbstgelb	Autumn yellow	designplus-348	
H075L80C10	75°	80%	10%	Kalkbeige	Chalk beige	designplus-349	
H075L80C20	75°	80%	20%	Hellweizengelb	Light corn yellow	designplus-350	
H075L80C30	75°	80%	30%	Dunkelgelb	Dark yellow	designplus-351	
H075L80C40	75°	80%	40%	Eschengelb	Ash yellow	designplus-352	
H075L80C50	75°	80%	50%	Orientgelb	Orient yellow	designplus-353	
H075L80C60	75°	80%	60%	Kutschengelb	Carriage yellow	designplus-354	
H075L85C10	75°	85%	10%	Seerosenweiß	Water lily white	designplus-355	
H075L85C20	75°	85%	20%	Bananeneiscreme	Banana ice cream	designplus-356	
H075L85C30	75°	85%	30%	Ahornbeige	Maple beige	designplus-357	
H075L85C40	75°	85%	40%	Goldrutengelb	Goldenrod yellow	designplus-358	
H075L90C10	75°	90%	10%	Süßspeisecreme	Dessert cream	designplus-359	
H075L90C20	75°	90%	20%	Butterweiß	Butter white	designplus-360	
H075L93C05	75°	93%	5%	Vanilleweiß	Vanilla white	designplus-361	
H080L20C05	80°	20%	5%	Nachtbraunschwarz	Night brown black	designplus-362	
H080L20C10	80°	20%	10%	Vanilleschotenbraun	Vanilla bean brown	designplus-363	
H080L30C05	80°	30%	5%	Erdschwarz	Earth black	designplus-364	
