URL	ID	DE	EN	FR	ES	IT	NL
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-124.png	RAL 6018	Gelbgrün	Yellow green	Vert jaune	Verde amarillento	Verde giallastro	Geelgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-125.png	RAL 6019	Weißgrün	Pastel green	Vert blanc	Verde blanquecino	Verde biancastro	Witgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-126.png	RAL 6020	Chromoxidgrün	Chrome green	Vert oxyde chromique	Verde cromo	Verde cromo	Chroomoxyde groen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-127.png	RAL 6021	Blassgrün	Pale green	Vert pâle	Verde pálido	Verde pallido	Bleekgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-128.png	RAL 6022	Braunoliv	Olive drab	Olive brun	Oliva parduzco	Oliva brunastro	Bruin olijfgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-129.png	RAL 6024	Verkehrsgrün	Traffic green	Vert signalisation	Verde tráfico	Verde traffico	Verkeersgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-130.png	RAL 6025	Farngrün	Fern green	Vert fougère	Verde helecho	Verde felce	Varengroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-131.png	RAL 6026	Opalgrün	Opal green	Vert opale	Verde opalo	Verde opale	Opaalgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-132.png	RAL 6027	Lichtgrün	Light green	Vert clair	Verde luminoso	Verde chiaro	Lichtgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-133.png	RAL 6028	Kieferngrün	Pine green	Vert pin	Verde pino	Verde pino	Pijnboomgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-134.png	RAL 6029	Minzgrün	Mint green	Vert menthe	Verde menta	Verde menta	Mintgroen
